date,merchant,amount,type
2026-04-01,Starbucks,5.75,debit
2026-04-01,Shell Gas Station,48.30,debit
2026-04-02,Amazon,129.99,debit
2026-04-02,Uber,14.50,debit
2026-04-03,Whole Foods,67.23,debit
2026-04-03,Netflix,15.99,debit
2026-04-04,Salary Deposit,3200.00,credit
2026-04-04,McDonald's,9.45,debit
2026-04-05,Spotify,9.99,debit
2026-04-05,Target,54.80,debit
2026-04-06,Chipotle,12.35,debit
2026-04-06,Lyft,22.10,debit
2026-04-07,Costco,215.60,debit
2026-04-07,Apple iCloud,2.99,debit
2026-04-08,Trader Joe's,43.17,debit
2026-04-08,BP Gas Station,52.40,debit
2026-04-09,Zara,89.99,debit
2026-04-09,DoorDash,28.50,debit
2026-04-10,Adobe Creative Cloud,54.99,debit
2026-04-10,Freelance Payment,750.00,credit
2026-04-11,Panera Bread,11.20,debit
2026-04-11,Chevron,45.00,debit
2026-04-12,Nike,134.50,debit
2026-04-12,Grubhub,19.75,debit
2026-04-13,Walmart,78.33,debit
2026-04-13,YouTube Premium,13.99,debit
2026-04-14,Starbucks,6.50,debit
2026-04-14,Interest Payment,12.45,credit
2026-04-15,H&M,62.00,debit
2026-04-15,Uber,18.90,debit
2026-04-16,Kroger,91.47,debit
2026-04-16,ChatGPT Plus,20.00,debit
2026-04-17,Chick-fil-A,8.75,debit
2026-04-17,Exxon,55.20,debit
2026-04-18,Best Buy,249.99,debit
2026-04-18,Refund - Amazon,29.99,credit
2026-04-19,Subway,7.89,debit
2026-04-19,Costco,165.40,debit
2026-04-20,Salary Deposit,3200.00,credit
2026-04-20,Domino's Pizza,15.60,debit
